code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E07000036,Erewash,5.48,9.59,15.07,2.74,9.59,8.22,15.07,9.59,9.59,15.07,5.4726,2.8962,flat
E07000037,High Peak,5.08,1.69,3.39,11.86,13.56,8.47,10.17,22.03,13.56,10.17,6.0593,2.4654,right
E07000038,North East Derbyshire,4.76,4.76,7.94,12.7,11.11,9.52,12.7,7.94,15.87,12.7,5.7381,2.6924,flat
E07000039,South Derbyshire,0,5.17,5.17,5.17,15.52,12.07,8.62,18.97,15.52,13.79,6.3621,2.3354,right
E07000040,East Devon,0,0,1.23,7.41,9.88,22.22,11.11,16.05,23.46,8.64,6.6975,1.8332,right
E07000041,Exeter,0,8.11,9.46,6.76,13.51,10.81,12.16,12.16,17.57,9.46,5.8919,2.4873,flat
E07000042,Mid Devon,0,0,6.98,13.95,32.56,13.95,13.95,9.3,6.98,2.33,5.314,1.7492,nshape
E07000043,North Devon,5.17,6.9,10.34,20.69,17.24,8.62,10.34,12.07,8.62,0,4.6724,2.2567,nshape
E07000044,South Hams,0,0,2.04,6.12,16.33,28.57,12.24,8.16,16.33,10.2,6.3367,1.8747,nshape
E07000045,Teignbridge,0,3.57,8.33,9.52,13.1,16.67,19.05,8.33,14.29,7.14,5.8571,2.1712,nshape
E07000046,Torridge,0,5.41,16.22,40.54,16.22,8.11,8.11,5.41,0,0,4.0135,1.5023,nshape
E07000047,West Devon,0,0,0,22.58,35.48,19.35,12.9,0,6.45,3.23,5.1452,1.5609,nshape
E07000061,Eastbourne,6.56,13.11,9.84,19.67,9.84,16.39,1.64,11.48,8.2,3.28,4.4836,2.5132,nshape
E07000062,Hastings,30.19,13.21,15.09,15.09,11.32,3.77,9.43,1.89,0,0,2.7264,2.0722,left
E07000063,Lewes,0,3.23,11.29,8.06,8.06,16.13,14.52,22.58,6.45,9.68,5.9677,2.2303,nshape
E07000064,Rother,3.45,6.9,10.34,10.34,25.86,8.62,13.79,12.07,8.62,0,4.9138,2.1686,nshape
E07000065,Wealden,0,4.21,0,3.16,6.32,20,14.74,20,17.89,13.68,6.8368,1.9657,right
