code,name_en,dist_en,gov_en,name_alt,2020-10-05_2020-10-12,2020-10-12_2020-10-19
53311,Deir El-Ahmar,Baalbek,Baalbek-El Hermel,Dair El-Ahmar,,9
53417,Beit Chama,Baalbek,Baalbek-El Hermel,Bait Chama,,8
53419,Haouch Er-Rafqa,Baalbek,Baalbek-El Hermel,Haush AI Rafka,5,
61123,Bramiyeh,Saida,South,AI Bramiyeh,81,137
61147,Hlaliyeh Saida,Saida,South,AI Halaliyi,86,138
61183,Miyeh ou Miyeh,Saida,South,Miyyeh w Miyyeh,89,141
61233,Majdelyoun,Saida,South,Majdelyoun,82,140
61244,AAbra Saida,Saida,South,Aabra,84,133
61255,Qraiyet Saida,Saida,South,AI Krayye,88,142
61266,Bqosta,Saida,South,Bqosta,,136
61277,Aain Ed-Delb,Saida,South,Ain El Deleb,83,134
61444,Babliyeh,Saida,South,AI Babiliyeh,85,135
61447,Ghassaniyeh,Saida,South,AI Ghasaniyi,87,
61496,Kfar Melki,Saida,South,Kfar Melki,,139
62246,Bazouriye,Sour,South,Bazouriat,,143
62274,Bedias,Sour,South,Bidias,,144
62312,Naqoura,Sour,South,Nakoura,,145
63184,Aazour,Jezzine,South,Azour,,146
63267,Kfar Jarra,Jezzine,South,Kfarjarra,90,147
71144,Choukine,El Nabatieh,El Nabatieh,Choukine,,153
71256,Aarab Salim,El Nabatieh,El Nabatieh,Arab Salim,,152
71261,Roumine,El Nabatieh,El Nabatieh,Roumin,96,
71327,Nmairiye,El Nabatieh,El Nabatieh,NmTriyT,,154
72111,Bent Jbayl,Bent Jbeil,El Nabatieh,Bint Jbeil,94,148
72167,Rmaich,Bent Jbeil,El Nabatieh,Rmeich,93,
72229,Chaqra,Bent Jbeil,El Nabatieh,Chakra,92,149
72277,Yater,Bent Jbeil,El Nabatieh,Yater,,151
72281,Debl,Bent Jbeil,El Nabatieh,Debel,91,150
73127,Ibl Es-Saqi,Marjaayoun,El Nabatieh,Ebl AI Saki,95,
74128,Mimas,Hasbaiya,El Nabatieh,Mimas,,155
